,Live Spectrum 8/25/2018 9:11:41 PM
Wavelength [nm],Intensity
215.709,1653
216.248,1629.33
216.786,1638.67
217.325,1619.33
217.863,1620
218.401,1617.33
218.94,1615.67
219.478,1609.33
220.016,1611.67
220.554,1627.67
221.091,1609
221.629,1604
222.167,1607.67
222.704,1595
223.242,1592.67
223.779,1600.33
224.316,1603.67
224.853,1603.67
225.39,1597
225.927,1604.33
226.464,1602
227,1597
227.537,1587.67
228.073,1599
228.61,1620
229.146,1632
229.682,1632
230.218,1617
230.754,1633.33
231.29,1620.67
231.826,1632
232.361,1633
232.897,1648.33
233.432,1650.67
233.967,1662.33
234.503,1644.33
235.038,1642.33
235.573,1645.92
236.108,1647.26
236.642,1647.8
237.177,1649.02
237.712,1649.14
238.246,1649.39
238.781,1649.33
239.315,1649.96
239.849,1650.29
240.383,1650.77
240.917,1649.86
241.451,1648.9
241.985,1648.69
242.518,1647.26
243.052,1647.75
243.585,1648.71
244.119,1649.26
244.652,1649.94
245.185,1650.33
245.718,1651.14
246.251,1651.35
246.784,1650.73
247.317,1650.75
247.849,1650
248.382,1649.9
248.914,1650.41
249.447,1649.63
249.979,1650.02
250.511,1650.71
251.043,1650.82
251.575,1651.51
252.107,1651.39
252.638,1650.77
253.17,1650.82
253.701,1652.08
254.233,1651.73
254.764,1651.65
255.295,1651.33
255.826,1652.55
256.357,1653.16
256.888,1654.12
257.419,1654.12
257.949,1653.9
258.48,1655.31
259.01,1655.67
259.541,1655.14
260.071,1655.28
260.601,1654.22
261.131,1653.49
261.661,1652.67
262.191,1651.84
262.721,1648.98
263.25,1648.28
263.78,1647.59
264.309,1647.43
264.839,1647.47
265.368,1646.39
265.897,1645.78
266.426,1645.31
266.955,1645.12
267.484,1642.02
268.012,1640.59
268.541,1639.57
269.069,1639
269.598,1639.67
270.126,1640.67
270.654,1641.94
271.182,1641.98
271.71,1643.84
272.238,1645.26
272.766,1645.96
273.293,1646.37
273.821,1646.63
274.348,1646.96
274.876,1648.14
275.403,1649.9
275.93,1649.88
276.457,1651.71
276.984,1653.31
277.511,1653.86
278.038,1653.65
278.564,1653.24
279.091,1653.92
279.617,1654.65
280.144,1656.24
280.67,1657.94
281.196,1658.84
281.722,1659.14
282.248,1659.12
282.774,1658.53
283.299,1658.04
283.825,1656.71
284.35,1654.88
284.876,1654.78
285.401,1654.59
285.926,1654.67
286.451,1655.69
286.976,1656.59
287.501,1657.51
288.026,1656.94
288.55,1656.39
289.075,1655.86
289.599,1654.06
290.124,1653.02
290.648,1652.14
291.172,1651.86
291.696,1651.78
292.22,1652.28
292.744,1652.65
293.268,1653.02
293.791,1653.75
294.315,1654.84
294.838,1655.67
295.362,1656.1
295.885,1656.86
296.408,1657.02
296.931,1656.88
297.454,1656.92
297.977,1656.94
298.499,1658.84
299.022,1660.39
299.544,1661.73
300.067,1662.08
300.589,1662.49
301.111,1662.43
301.633,1663.02
302.155,1664.14
302.677,1663.92
303.199,1663.47
303.72,1662.82
304.242,1662.51
304.763,1662.53
305.285,1662.31
305.806,1662.35
306.327,1661.94
306.848,1661.55
307.369,1660.24
307.89,1659.39
308.411,1659.31
308.931,1659.37
309.452,1658.45
309.972,1658.71
310.493,1657.53
311.013,1656.29
311.533,1657.43
312.053,1657.18
312.573,1657
313.093,1656.63
313.612,1656.14
314.132,1657.14
314.651,1658.33
315.171,1659.71
315.69,1660.86
316.209,1660.86
316.728,1660.14
317.247,1660.08
317.766,1660.8
318.285,1662.26
318.803,1664.12
319.322,1666.92
319.84,1668.92
320.359,1669.26
320.877,1669.41
321.395,1670.55
321.913,1671.88
322.431,1673.45
322.949,1673.16
323.467,1673.98
323.984,1674.26
324.502,1675.73
325.019,1676.84
325.537,1678.12
326.054,1678.88
326.571,1678.8
327.088,1678.31
327.605,1676.28
328.122,1673.39
328.638,1670.98
329.155,1670.43
329.671,1671.9
330.188,1671.31
330.704,1671.92
331.22,1670.28
331.736,1670.26
332.252,1669.28
332.768,1669.53
333.284,1668.78
333.799,1669.18
334.315,1671
334.83,1672.53
335.346,1674.33
335.861,1676.14
336.376,1678.33
336.891,1681.8
337.406,1684.45
337.921,1686.06
338.436,1686.71
338.95,1688.77
339.465,1689.14
339.979,1690.67
340.494,1691.88
341.008,1694.24
341.522,1694.92
342.036,1695.57
342.55,1696.86
343.064,1696.67
343.577,1695.86
344.091,1695.73
344.604,1696.67
345.118,1697.49
345.631,1696.65
346.144,1698
346.657,1698.33
347.17,1698.71
347.683,1698.16
348.196,1697.98
348.708,1698.41
349.221,1698.31
349.733,1696.63
350.246,1697.2
350.758,1697.73
351.27,1697.84
351.782,1697.8
352.294,1698.61
352.806,1699.31
353.318,1698.94
353.829,1699.2
354.341,1700.04
354.852,1699.94
355.364,1700.02
355.875,1699.98
356.386,1701.37
356.897,1702.78
357.408,1704.31
357.919,1706.61
358.429,1707.98
358.94,1708.45
359.45,1708.8
359.961,1708.84
360.471,1708.96
360.981,1708.98
361.491,1708.75
362.001,1709.37
362.511,1709.35
363.021,1708.69
363.53,1709.37
364.04,1710.16
364.549,1711.06
365.059,1710.43
365.568,1709.71
366.077,1709.1
366.586,1707.9
367.095,1708.45
367.604,1708.69
368.113,1709.39
368.621,1711.28
369.13,1712.98
369.638,1714.84
370.147,1717.22
370.655,1719.86
371.163,1722.39
371.671,1726.24
372.179,1728.12
372.687,1730.49
373.194,1733.02
373.702,1735.96
374.209,1739.51
374.717,1741.82
375.224,1743.96
375.731,1745.8
376.238,1747.43
376.745,1748.75
377.252,1749.08
377.759,1749.92
378.265,1751.45
378.772,1752.02
379.278,1751.04
379.785,1751.9
380.291,1753.57
380.797,1755.98
381.303,1756.82
381.809,1758.29
382.315,1759.78
382.821,1761.63
383.326,1763.67
383.832,1765.49
384.337,1767.53
384.843,1769.82
385.348,1772.65
385.853,1774.92
386.358,1777.51
386.863,1780.65
387.368,1783.84
387.872,1788.28
388.377,1791.35
388.881,1794.2
389.386,1797.75
389.89,1803.41
390.394,1807.77
390.898,1812.31
391.402,1817.33
391.906,1823.57
392.41,1830.04
392.914,1837.41
393.417,1845.04
393.92,1852.67
394.424,1861.1
394.927,1870
395.43,1878.59
395.933,1888.04
396.436,1899.24
396.939,1910.84
397.442,1921.77
397.944,1932.94
398.447,1944.59
398.949,1959.55
399.452,1975.94
399.954,1993.06
400.456,2012.08
400.958,2033.75
401.46,2056.18
401.962,2080.65
402.463,2107.55
402.965,2135.43
403.466,2165.67
403.968,2196.35
404.469,2229.75
404.97,2264.41
405.471,2302.41
405.972,2342.26
406.473,2384.37
406.974,2427.22
407.475,2470.86
407.975,2517.06
408.475,2564.26
408.976,2613.22
409.476,2662.43
409.976,2712.49
410.476,2763.9
410.976,2814.73
411.476,2867.86
411.976,2920.86
412.475,2975.49
412.975,3030.2
413.474,3086.53
413.974,3143.12
414.473,3201.16
414.972,3259.77
415.471,3319.92
415.97,3379.1
416.469,3439.06
416.967,3500.35
417.466,3562.57
417.964,3628.63
418.463,3699.26
418.961,3774.84
419.459,3857.41
419.957,3945.63
420.455,4040.1
420.953,4143.02
421.451,4253.98
421.949,4371.82
422.446,4498.1
422.944,4633.55
423.441,4778.08
423.938,4933.47
424.435,5101.71
424.932,5281.43
425.429,5476.67
425.926,5687.47
426.423,5915.14
426.919,6155.71
427.416,6408.33
427.912,6674.18
428.409,6952.24
428.905,7252.8
429.401,7567.43
429.897,7899.35
430.393,8244.88
430.889,8608.65
431.384,8992.24
431.88,9395.75
432.375,9826.41
432.871,10281.39
433.366,10764.88
433.861,11270.22
434.356,11805.04
434.851,12362.24
435.346,12958.45
435.841,13587.84
436.335,14259.27
436.83,14976.98
437.324,15719.98
437.819,16498.24
438.313,17315.8
438.807,18189.47
439.301,19113.73
439.795,20090.82
440.289,21113.94
440.783,22179.41
441.276,23294.67
441.77,24450.57
442.263,25636.96
442.757,26847.51
443.25,28092.79
443.743,29334.2
444.236,30577.21
444.729,31819.29
445.222,33050.2
445.714,34253.23
446.207,35406.51
446.699,36483.43
447.192,37476.08
447.684,38368.59
448.176,39145.9
448.668,39793.37
449.16,40287.86
449.652,40613.77
450.144,40771.16
450.635,40769.14
451.127,40614.86
451.618,40296.29
452.11,39844.08
452.601,39260.65
453.092,38538.12
453.583,37678
454.074,36715.2
454.565,35668.61
455.056,34568.86
455.546,33412.77
456.037,32226.63
456.527,31026.28
457.018,29837.8
457.508,28678.28
457.998,27561.08
458.488,26492.33
458.978,25477.92
459.468,24509.43
459.957,23596.39
460.447,22736.8
460.936,21926.1
461.426,21167.37
461.915,20463
462.404,19806.9
462.893,19199.41
463.382,18628.49
463.871,18091.25
464.36,17579.37
464.848,17086.18
465.337,16608.37
465.825,16148.29
466.314,15706.25
466.802,15279.76
467.29,14866.06
467.778,14465.39
468.266,14074.78
468.754,13689.25
469.242,13312.55
469.729,12944.16
470.217,12586.04
470.704,12240.1
471.192,11903.24
471.679,11577.76
472.166,11267.39
472.653,10972.69
473.14,10694.82
473.627,10434.24
474.113,10191.8
474.6,9963.45
475.086,9747.94
475.573,9547.9
476.059,9362.59
476.545,9192.63
477.031,9040.2
477.517,8904.26
478.003,8781.92
478.489,8675.9
478.974,8582.96
479.46,8504.57
479.945,8438.14
480.431,8382.75
480.916,8336.18
481.401,8298.02
481.886,8266.06
482.371,8240.55
482.856,8221.53
483.341,8211.77
483.825,8209.1
484.31,8215.69
484.794,8229.43
485.279,8251.27
485.763,8278.84
486.247,8314.31
486.731,8359.43
487.215,8412.94
487.699,8475.75
488.182,8550.06
488.666,8635.04
489.149,8729.63
489.633,8837.71
490.116,8959.26
490.599,9094
491.082,9243.02
491.565,9408.43
492.048,9590.24
492.531,9784.75
493.013,9994.2
493.496,10220.04
493.978,10464.1
494.461,10725.27
494.943,11001.67
495.425,11292.51
495.907,11599.45
496.389,11924.76
496.871,12266.12
497.353,12624.41
497.834,12998.75
498.316,13387.96
498.797,13791.1
499.279,14207.2
499.76,14636.12
500.241,15078.57
500.722,15535.51
501.203,16005.84
501.684,16486.47
502.164,16977.71
502.645,17479.49
503.125,17988.9
503.606,18510.14
504.086,19038.74
504.566,19573.8
505.046,20115.23
505.526,20666.1
506.006,21220.47
506.486,21784.59
506.965,22353.86
507.445,22929.1
507.924,23504.28
508.404,24082.08
508.883,24660.08
509.362,25238.82
509.841,25817.43
510.32,26397.35
510.799,26973.65
511.278,27546.39
511.756,28116.55
512.235,28683.16
512.713,29243.77
513.192,29800.94
513.67,30352.28
514.148,30901.79
514.626,31442.8
515.104,31976.41
515.582,32501.31
516.059,33023.06
516.537,33537.9
517.014,34048.82
517.492,34554.29
517.969,35053.61
518.446,35543.79
518.923,36027.73
519.4,36507.88
519.877,36979.59
520.354,37444.55
520.83,37900.55
521.307,38347.94
521.783,38786.49
522.26,39215.55
522.736,39634.16
523.212,40041.47
523.688,40441.69
524.164,40832.77
524.64,41213.65
525.116,41583.94
525.591,41944.18
526.067,42292.27
526.542,42631.39
527.018,42960.35
527.493,43280.69
527.968,43592.57
528.443,43893.51
528.918,44187.47
529.393,44470.49
529.867,44744.12
530.342,45010.8
530.816,45270.41
531.291,45524.69
531.765,45769.98
532.239,46007.23
532.713,46237.12
533.187,46459.88
533.661,46674.14
534.135,46884.61
534.608,47084.25
535.082,47279.75
535.555,47467.04
536.029,47646.84
536.502,47825.67
536.975,48000.92
537.448,48174.04
537.921,48339.47
538.394,48500.98
538.867,48657.21
539.339,48810.21
539.812,48961.02
540.284,49108.39
540.757,49249.33
541.229,49386.21
541.701,49517.84
542.173,49644.31
542.645,49768.2
543.117,49889.55
543.588,50007.92
544.06,50126.69
544.531,50241.71
545.003,50353.23
545.474,50457.29
545.945,50556.73
546.416,50649.86
546.887,50737.73
547.358,50823.55
547.829,50909.21
548.299,50992.84
548.77,51073.14
549.24,51152.75
549.711,51232.12
550.181,51313.08
550.651,51396.27
551.121,51478.59
551.591,51559.59
552.061,51634.79
552.531,51708.65
553,51780.35
553.47,51857.37
553.939,51940.14
554.409,52019.27
554.878,52095.37
555.347,52168.65
555.816,52234.33
556.285,52296.92
556.754,52361.21
557.222,52425.31
557.691,52489.8
558.159,52554.51
558.628,52619.08
559.096,52680.49
559.564,52740.35
560.032,52801.12
560.5,52857.92
560.968,52912.43
561.436,52961.43
561.903,53003.96
562.371,53046.53
562.838,53092.79
563.306,53136.67
563.773,53180.71
564.24,53226.63
564.707,53275.84
565.174,53322.06
565.641,53367.33
566.108,53407.06
566.574,53447.75
567.041,53487.67
567.507,53525.41
567.973,53559.63
568.44,53593.35
568.906,53625.86
569.372,53662.47
569.838,53704.29
570.304,53744.84
570.769,53783.31
571.235,53821.41
571.7,53860.65
572.166,53896.02
572.631,53926.16
573.096,53951
573.561,53974.53
574.026,53996.8
574.491,54013.41
574.956,54023.69
575.42,54031.61
575.885,54039.84
576.349,54048.02
576.814,54057.08
577.278,54059.45
577.742,54056.43
578.206,54052.79
578.67,54048.2
579.134,54041.86
579.598,54033.8
580.061,54023.47
580.525,54013
580.988,54002.16
581.452,53984.21
581.915,53959.75
582.378,53930.94
582.841,53903.82
583.304,53879.1
583.766,53851.29
584.229,53818.65
584.692,53776.45
585.154,53730.92
585.617,53682.37
586.079,53631.71
586.541,53576.02
587.003,53513.33
587.465,53448.2
587.927,53379.92
588.389,53309.67
588.85,53235.98
589.312,53161.51
589.773,53086.31
590.235,53005.94
590.696,52916.47
591.157,52821.08
591.618,52720.82
592.079,52617.79
592.54,52516.27
593.001,52412.12
593.461,52304.98
593.922,52194.31
594.382,52079.88
594.842,51965.8
595.303,51848.63
595.763,51727.88
596.223,51598.35
596.683,51467.2
597.143,51330.25
597.602,51190.33
598.062,51049.86
598.521,50910.57
598.981,50766.2
599.44,50622.49
599.899,50475.37
600.358,50326.2
600.817,50174.86
601.276,50018.29
601.735,49856.12
602.193,49692.59
602.652,49525.53
603.11,49353.98
603.569,49175.47
604.027,48997.21
604.485,48813.04
604.943,48628.98
605.401,48438
605.859,48244.84
606.317,48046.92
606.774,47843.35
607.232,47632.98
607.689,47414.33
608.146,47188.08
608.604,46953.21
609.061,46713.49
609.518,46465.23
609.975,46212.33
610.431,45956.21
610.888,45693.55
611.345,45433.06
611.801,45167.79
612.258,44898.02
612.714,44627.27
613.17,44354.31
613.626,44078.49
614.082,43799.12
614.538,43518.12
614.994,43232.69
615.449,42945.84
615.905,42657.92
616.36,42370.86
616.816,42084.98
617.271,41803.98
617.726,41519.88
618.181,41235.1
618.636,40947.45
619.091,40655.47
619.546,40362.8
620,40068.08
620.455,39768.18
620.909,39469.9
621.363,39168.55
621.818,38868.31
622.272,38570.84
622.726,38274.1
623.18,37984.57
623.633,37698.92
624.087,37414.2
624.541,37128.14
624.994,36840.75
625.448,36557.2
625.901,36275.49
626.354,35996.84
626.807,35718.67
627.26,35442.73
627.713,35173.67
628.166,34909.51
628.618,34650.65
629.071,34398.27
629.523,34152.2
629.976,33906.21
630.428,33662.45
630.88,33416.71
631.332,33169.02
631.784,32922.94
632.236,32681.18
632.688,32446.23
633.139,32216.02
633.591,31987.53
634.042,31765.12
634.493,31548.27
634.945,31335.72
635.396,31126.72
635.847,30921.72
636.298,30718.65
636.748,30518.72
637.199,30321.61
637.65,30133.65
638.1,29955.82
638.551,29782.71
639.001,29619.08
639.451,29466.65
639.901,29319.53
640.351,29177.82
640.801,29041.88
641.251,28917.82
641.7,28802
642.15,28696.1
642.599,28595.37
643.049,28502.25
643.498,28417.96
643.947,28342.53
644.396,28276.37
644.845,28215.63
645.294,28161.06
645.743,28113.35
646.191,28081.49
646.64,28059.35
647.088,28044.63
647.536,28039.69
647.985,28042.43
648.433,28053.1
648.881,28070.14
649.329,28091.73
649.776,28118.67
650.224,28155.94
650.672,28202.33
651.119,28253.04
651.567,28312.71
652.014,28377.57
652.461,28448.18
652.908,28522.74
653.355,28598.43
653.802,28674.26
654.249,28748.84
654.695,28822.12
655.142,28894.57
655.588,28961.94
656.035,29025.39
656.481,29077.16
656.927,29116.88
657.373,29139
657.819,29138.82
658.265,29110.63
658.71,29052.41
659.156,28959.86
659.602,28829.63
660.047,28666.04
660.492,28463.45
660.938,28223.49
661.383,27940.16
661.828,27615.9
662.273,27247.53
662.717,26838.47
663.162,26392.61
663.607,25905.1
664.051,25382.67
664.495,24831.61
664.94,24255.06
665.384,23657.35
665.828,23047.28
666.272,22426
666.716,21797.8
667.16,21169.33
667.603,20540.45
668.047,19915.75
668.49,19296.1
668.934,18687.86
669.377,18093.57
669.82,17517.61
670.263,16957.86
670.706,16416.72
671.149,15898.02
671.591,15400.49
672.034,14923.57
672.477,14468.16
672.919,14033.76
673.361,13615.47
673.804,13217.8
674.246,12839.86
674.688,12479.53
675.13,12137.06
675.571,11812.88
676.013,11507.41
676.455,11217.57
676.896,10942.78
677.337,10682.37
677.779,10435.2
678.22,10199.65
678.661,9974.33
679.102,9758.88
679.543,9552.84
679.984,9355.06
680.424,9164.82
680.865,8984.04
681.305,8812.82
681.746,8649.57
682.186,8493.8
682.626,8345.14
683.066,8200.67
683.506,8060.04
683.946,7924.33
684.385,7791.65
684.825,7662.69
685.265,7537.22
685.704,7415.16
686.143,7297.77
686.583,7184.08
687.022,7073.96
687.461,6968
687.9,6865.61
688.338,6766.04
688.777,6670.18
689.216,6575.04
689.654,6482.1
690.092,6391.67
690.531,6304
690.969,6220.61
691.407,6138.47
691.845,6058.47
692.283,5981.14
692.721,5905.92
693.158,5833.16
693.596,5761.47
694.033,5692.16
694.471,5623.98
694.908,5557.77
695.345,5493.24
695.782,5431.22
696.219,5368.73
696.656,5306.82
697.092,5246.06
697.529,5187.18
697.966,5130.08
698.402,5073.43
698.838,5015.77
699.274,4960.88
699.711,4904.41
700.147,4850.12
700.583,4796.53
701.018,4744.57
701.454,4693.1
701.89,4642.8
702.325,4593.22
702.76,4544.18
703.196,4495.14
703.631,4446.77
704.066,4401.63
704.501,4358.04
704.936,4314.27
705.371,4271.14
705.805,4227.51
706.24,4187.04
706.674,4146.12
707.109,4106.12
707.543,4065.92
707.977,4026.43
708.411,3988.1
708.845,3950
709.279,3912.9
