,Relative Quantum Efficiency
674.688,0.91312
675.13,0.9087
675.571,0.90429
676.013,0.89987
676.455,0.89545
676.896,0.89104
677.337,0.88663
677.779,0.88221
678.22,0.8756
678.661,0.86678
679.102,0.85796
679.543,0.84914
679.984,0.84032
680.424,0.83152
680.865,0.8227
681.305,0.8139
681.746,0.80508
682.186,0.79628
682.626,0.78748
683.066,0.77868
683.506,0.76988
683.946,0.76108
684.385,0.750375
684.825,0.739375
685.265,0.728375
685.704,0.7174
686.143,0.706425
686.583,0.695425
687.022,0.68445
687.461,0.673475
687.9,0.6625
688.338,0.65155
688.777,0.640575
689.216,0.6296
689.654,0.61865
690.092,0.60816
690.531,0.59938
690.969,0.59062
691.407,0.58186
691.845,0.5731
692.283,0.56434
692.721,0.55558
693.158,0.54684
693.596,0.53808
694.033,0.529505
694.471,0.522935
694.908,0.51638
695.345,0.509825
695.782,0.50327
696.219,0.496715
696.656,0.49016
697.092,0.48362
697.529,0.477065
697.966,0.47051
698.402,0.46397
698.838,0.45743
699.274,0.45089
699.711,0.444335
700.147,0.437795
700.583,0.431255
701.018,0.42473
701.454,0.41819
701.89,0.41165
702.325,0.40675
702.76,0.4024
703.196,0.39804
703.631,0.39369
704.066,0.38934
704.501,0.38499
704.936,0.38064
705.371,0.37629
705.805,0.37195
706.24,0.3664
706.674,0.35989
707.109,0.353365
707.543,0.346855
707.977,0.340345
708.411,0.33589
708.845,0.33155
709.279,0.32721
709.712,0.32288
710.146,0.31927
710.58,0.3171
711.013,0.314935
711.446,0.31277
711.879,0.310605
712.313,0.30687
712.746,0.30254
713.178,0.29822
713.611,0.29389
714.044,0.28956
714.477,0.28523
714.909,0.28091
715.341,0.27659
715.774,0.27226
716.206,0.26794
716.638,0.26362
717.07,0.2593
717.502,0.25498
717.933,0.25067
718.365,0.248175
718.797,0.246015
719.228,0.24386
719.659,0.241705
720.091,0.23909
720.522,0.23478
720.953,0.23047
721.384,0.22616
721.815,0.22185
722.245,0.218775
722.676,0.21662
723.106,0.21447
723.537,0.212315
723.967,0.210165
724.397,0.20603
724.828,0.20172
725.258,0.19742
725.687,0.19313
726.117,0.189415
726.547,0.187265
726.976,0.18512
727.406,0.18297
727.835,0.180825
728.265,0.17735
728.694,0.17306
729.123,0.16877
729.552,0.16448
729.981,0.16019
730.409,0.15591
730.838,0.15162
731.267,0.14733
731.695,0.14305
732.123,0.139385
732.552,0.13724
732.98,0.1351
733.408,0.13296
733.836,0.13082
734.264,0.12868
734.691,0.126545
735.119,0.124405
735.546,0.12227
735.974,0.12013
736.401,0.11599
736.828,0.11172
737.255,0.10745
737.682,0.10318
738.109,0.099455
738.536,0.09732
738.963,0.095185
739.389,0.093055
739.816,0.09092
740.242,0.08879
740.669,0.086655
741.095,0.084525
741.521,0.082395
741.947,0.080265
742.373,0.078135
742.798,0.07601
743.224,0.07388
743.65,0.07175
744.075,0.069625
744.5,0.0675
744.926,0.06537
745.351,0.063245
745.776,0.06112
746.201,0.06
746.626,0.06
747.05,0.06
747.475,0.06
747.899,0.06
748.324,0.05676
748.748,0.05252
749.172,0.04828
749.596,0.04404
750.02,0.04
750.444,0.04
750.868,0.04
751.292,0.04
751.715,0.04
752.139,0.039305
752.562,0.03719
752.986,0.03507
753.409,0.032955
753.832,0.03084
754.255,0.03
754.678,0.03
755.1,0.03
755.523,0.03
755.946,0.03
756.368,0.03
756.79,0.03
757.213,0.03
757.635,0.03
758.057,0.03
758.479,0.03
758.901,0.03
759.322,0.03
759.744,0.03
760.165,0.029175
760.587,0.027065
761.008,0.02496
761.429,0.022855
761.85,0.02075
762.271,0.02
762.692,0.02
763.113,0.02
763.534,0.02
763.954,0.02
764.375,0.02
764.795,0.02
765.216,0.02
765.636,0.02
766.056,0.02
766.476,0.02
766.896,0.02
767.315,0.02
767.735,0.02
768.155,0.019225
768.574,0.01713
768.993,0.015035
769.413,0.012935
769.832,0.01084
770.251,0.01
770.67,0.01
771.088,0.01
771.507,0.01
771.926,0.01
772.344,0.01
772.763,0.01
773.181,0.01
773.599,0.01
774.017,0.01
774.435,0.01
774.853,0.01
775.271,0.01
775.689,0.01
776.106,0.01
776.524,0.01
776.941,0.01
777.359,0.01
777.776,0.01
778.193,0.01
778.61,0.01
779.027,0.01
779.443,0.01
779.86,0.01
780.276,0.01
780.693,0.01
781.109,0.01
781.526,0.01
781.942,0.01
782.358,0.00821
782.774,0.00613
783.189,0.004055
783.605,0.001975
784.021,0
784.436,0
784.852,0
785.267,0
785.682,0
786.097,0
786.512,0
786.927,0
787.342,0
787.757,0
788.171,0
788.586,0
789,0
789.414,0
789.829,0
790.243,0
790.657,0
791.07,0
791.484,0
791.898,0
792.311,0
792.725,0
793.138,0
793.552,0
793.965,0
794.378,0
794.791,0
795.203,0
795.616,0
796.029,0
796.441,0
796.854,0
797.266,0
797.678,0
798.09,0
798.502,0
798.914,0
799.326,0
799.738,0
800.149,0
800.561,0
800.972,0
801.383,0
801.795,0
802.206,0
802.617,0
803.027,0
803.438,0
803.849,0
804.259,0
804.67,0
805.08,0
805.49,0
805.901,0
806.311,0
806.721,0
807.13,0
807.54,0
807.95,0
808.359,0
808.769,0
809.178,0
809.587,0
809.996,0
810.405,0
810.814,0
811.223,0
811.632,0
812.04,0
812.449,0
812.857,0
813.265,0
813.674,0
814.082,0
814.49,0
814.897,0
815.305,0
815.713,0
816.12,0
816.528,0
816.935,0
817.342,0
817.75,0
818.157,0
818.564,0
818.97,0
819.377,0
819.784,0
820.19,0
820.597,0
821.003,0
821.409,0
821.815,0
822.221,0
822.627,0
823.033,0
823.439,0
823.844,0
824.25,0
824.655,0
825.06,0
825.466,0
825.871,0
826.276,0
826.68,0
827.085,0
827.49,0
827.894,0
828.299,0
828.703,0
829.107,0
829.512,0
829.916,0
830.319,0
830.723,0
831.127,0
831.531,0
831.934,0
832.338,0
832.741,0
833.144,0
833.547,0
833.95,0
834.353,0
834.756,0
835.159,0
835.561,0
835.964,0
836.366,0
836.768,0
837.17,0
837.572,0
837.974,0
838.376,0
838.778,0
839.18,0
839.581,0
839.983,0
840.384,0
840.785,0
841.186,0
841.588,0
841.988,0
842.389,0
842.79,0
843.191,0
843.591,0
843.992,0
844.392,0
844.792,0
845.192,0
845.592,0
845.992,0
846.392,0
846.791,0
847.191,0
847.591,0
847.99,0
848.389,0
848.788,0
849.187,0
849.586,0
849.985,0
850.384,0
850.783,0
851.181,0
851.58,0
851.978,0
852.376,0
852.774,0
853.172,0
853.57,0
853.968,0
854.366,0
854.764,0
855.161,0
855.558,0
855.956,0
856.353,0
856.75,0
857.147,0
857.544,0
857.941,0
858.337,0
858.734,0
859.131,0
859.527,0
859.923,0
860.319,0
860.715,0
861.111,0
861.507,0
861.903,0
862.299,0
862.694,0
863.09,0
863.485,0
863.88,0
864.275,0
864.67,0
865.065,0
865.46,0
865.855,0
866.25,0
866.644,0
867.038,0
867.433,0
867.827,0
868.221,0
868.615,0
869.009,0
869.403,0
869.796,0
870.19,0
870.583,0
870.977,0
871.37,0
871.763,0
872.156,0
872.549,0
872.942,0
873.335,0
873.728,0
874.12,0
874.513,0
874.905,0
875.297,0
875.689,0
876.081,0
876.473,0
876.865,0
877.257,0
877.648,0
878.04,0
878.431,0
878.823,0
879.214,0
879.605,0
879.996,0
880.387,0
880.778,0
881.168,0
881.559,0
881.949,0
882.34,0
882.73,0
883.12,0
883.51,0
883.9,0
884.29,0
884.68,0
885.07,0
885.459,0
885.849,0
886.238,0
886.627,0
887.016,0
887.405,0
887.794,0
888.183,0
888.572,0
888.96,0
889.349,0
889.737,0
890.126,0
890.514,0
890.902,0
891.29,0
891.678,0
892.066,0
892.453,0
892.841,0
893.228,0
893.616,0
894.003,0
894.39,0
894.777,0
895.164,0
895.551,0
895.938,0
896.325,0
896.711,0
897.097,0
897.484,0
897.87,0
898.256,0
898.642,0
899.028,0
899.414,0
899.8,0
900.185,0
900.571,0
900.956,0
901.342,0
901.727,0
902.112,0
902.497,0
902.882,0
903.267,0
903.651,0
904.036,0
904.42,0
904.805,0
905.189,0
905.573,0
905.957,0
906.341,0
906.725,0
907.109,0
907.492,0
907.876,0
908.259,0
908.643,0
909.026,0
909.409,0
909.792,0
910.175,0
910.558,0
910.941,0
911.323,0
911.706,0
912.088,0
912.471,0
912.853,0
913.235,0
913.617,0
913.999,0
914.38,0
914.762,0
915.144,0
915.525,0
915.907,0
916.288,0
916.669,0
917.05,0
917.431,0
917.812,0
918.193,0
918.573,0
918.954,0
919.334,0
919.715,0
920.095,0
920.475,0
920.855,0
921.235,0
921.615,0
921.995,0
922.374,0
922.754,0
923.133,0
923.512,0
923.892,0
924.271,0
924.65,0
925.029,0
925.407,0
925.786,0
926.165,0
926.543,0
926.922,0
927.3,0
927.678,0
928.056,0
928.434,0
928.812,0
929.19,0
929.567,0
929.945,0
930.322,0
930.7,0
931.077,0
931.454,0
931.831,0
932.208,0
932.585,0
932.962,0
933.338,0
933.715,0
934.091,0
934.467,0
934.844,0
935.22,0
935.596,0
935.972,0
936.347,0
936.723,0
937.099,0
937.474,0
937.85,0
938.225,0
938.6,0
938.975,0
939.35,0
939.725,0
940.1,0
940.474,0
940.849,0
941.223,0
941.598,0
941.972,0
942.346,0
942.72,0
943.094,0
943.468,0
943.841,0
944.215,0
944.589,0
944.962,0
945.335,0
945.709,0
946.082,0
946.455,0
946.828,0
947.2,0
947.573,0
947.946,0
948.318,0
948.69,0
949.063,0
949.435,0
949.807,0
950.179,0
950.551,0
950.923,0
951.294,0
951.666,0
952.037,0
952.409,0
952.78,0
953.151,0
953.522,0
953.893,0
954.264,0
954.634,0
955.005,0
955.376,0
955.746,0
956.116,0
956.487,0
956.857,0
957.227,0
957.596,0
957.966,0
958.336,0
958.706,0
959.075,0
959.444,0
959.814,0
960.183,0
960.552,0
960.921,0
961.29,0
961.658,0
962.027,0
962.396,0
962.764,0
963.132,0
963.501,0
963.869,0
964.237,0
964.605,0
964.973,0
965.34,0
965.708,0
966.075,0
966.443,0
966.81,0
967.177,0
967.545,0
967.912,0
968.278,0
968.645,0
969.012,0
969.378,0
969.745,0
970.111,0
970.478,0
970.844,0
971.21,0
971.576,0
971.942,0
972.307,0
972.673,0
973.039,0
973.404,0
973.769,0
974.135,0
974.5,0
974.865,0
975.23,0
975.595,0
975.959,0
976.324,0
976.688,0
977.053,0
977.417,0
977.781,0
978.145,0
978.509,0
978.873,0
979.237,0
979.601,0
979.964,0
980.328,0
980.691,0
981.055,0
981.418,0
981.781,0
982.144,0
982.507,0
982.869,0
983.232,0
983.595,0
983.957,0
984.319,0
984.682,0
985.044,0
985.406,0
985.768,0
986.13,0
986.491,0
986.853,0
987.214,0
987.576,0
987.937,0
988.298,0
988.659,0
989.02,0
989.381,0
989.742,0
990.103,0
990.463,0
990.824,0
991.184,0
991.544,0
991.905,0
992.265,0
992.625,0
992.985,0
993.344,0
993.704,0
994.063,0
994.423,0
994.782,0
995.142,0
995.501,0
995.86,0
996.219,0
996.577,0
996.936,0
997.295,0
997.653,0
998.012,0
998.37,0
998.728,0
999.086,0
999.444,0
999.802,0
1000.16,0
1000.518,0
1000.875,0
1001.233,0
1001.59,0
1001.947,0
1002.305,0
1002.662,0
1003.019,0
1003.375,0
1003.732,0
1004.089,0
1004.445,0
1004.802,0
1005.158,0
1005.514,0
1005.871,0
1006.227,0
1006.583,0
1006.938,0
1007.294,0
1007.65,0
1008.005,0
1008.361,0
1008.716,0
1009.071,0
1009.426,0
1009.781,0
1010.136,0
1010.491,0
1010.846,0
1011.2,0
1011.555,0
1011.909,0
1012.263,0
1012.617,0
1012.971,0
1013.326,0
1013.679,0
1014.033,0
1014.387,0
1014.74,0
1015.094,0
1015.447,0
1015.8,0
1016.153,0
1016.507,0
1016.859,0
1017.212,0
1017.565,0
1017.918,0
1018.27,0
1018.622,0
1018.975,0
1019.327,0
1019.679,0
1020.031,0
1020.383,0
1020.735,0
1021.086,0
1021.438,0
1021.79,0
1022.141,0
1022.492,0
1022.843,0
1023.194,0
1023.545,0
1023.896,0
1024.247,0
1024.598,0
1024.948,0
1025.299,0
1025.649,0
1025.999,0
1026.349,0
1026.699,0
1027.049,0
1027.399,0
1027.749,0
1028.099,0
1028.448,0
1028.797,0
1029.147,0
1029.496,0
1029.845,0
1030.194,0
1030.543,0
1030.892,0
1031.24,0
1031.589,0
1031.938,0
1032.286,0
1032.634,0
1032.982,0
1033.33,0
1033.678,0
1034.026,0
1034.374,0
1034.722,0
1035.069,0
1035.417,0
1035.764,0
1036.111,0
1036.458,0
1036.805,0
1037.152,0
1037.499,0
1037.846,0
1038.193,0
1038.539,0
1038.885,0
1039.232,0
1039.578,0
1039.924,0
1040.27,0
1040.616,0
1040.962,0
1041.307,0
1041.653,0
1041.998,0
1042.344,0
1042.689,0
1043.034,0
1043.379,0
1043.724,0
1044.069,0
1044.414,0
1044.759,0
1045.103,0
1045.448,0
1045.792,0
1046.136,0
1046.48,0
1046.824,0
1047.168,0
1047.512,0
1047.856,0
1048.199,0
1048.543,0
1048.886,0
1049.23,0
1049.573,0
1049.916,0
1050.259,0
1050.602,0
1050.945,0
1051.287,0
1051.63,0
1051.972,0
1052.315,0
1052.657,0
1052.999,0
1053.341,0
1053.683,0
1054.025,0
1054.367,0
1054.708,0
1055.05,0
1055.391,0
1055.733,0
1056.074,0
1056.415,0
1056.756,0
1057.097,0
1057.438,0
1057.779,0
1058.119,0
1058.46,0
1058.8,0
1059.141,0
1059.481,0
1059.821,0
1060.161,0
1060.501,0
1060.841,0
1061.18,0
1061.52,0
1061.859,0
1062.199,0
1062.538,0
1062.877,0
1063.216,0
1063.555,0
1063.894,0
1064.233,0
1064.571,0
1064.91,0
1065.248,0
1065.587,0
1065.925,0
1066.263,0
1066.601,0
1066.939,0
1067.277,0
1067.615,0
1067.952,0
1068.29,0
1068.627,0
1068.964,0
1069.302,0
1069.639,0
1069.976,0
1070.313,0
1070.649,0
1070.986,0
1071.323,0
1071.659,0
1071.996,0
1072.332,0
1072.668,0
1073.004,0
1073.34,0
1073.676,0
1074.012,0
1074.347,0
1074.683,0
1075.018,0
1075.354,0
1075.689,0
1076.024,0
1076.359,0
1076.694,0
1077.029,0
1077.364,0
1077.698,0
1078.033,0
1078.367,0
1078.701,0
1079.036,0
1079.37,0
1079.704,0
1080.038,0
1080.371,0
1080.705,0
1081.039,0
1081.372,0
1081.705,0
1082.039,0
1082.372,0
1082.705,0
1083.038,0
1083.371,0
1083.704,0
1084.036,0
1084.369,0
1084.701,0
1085.034,0
1085.366,0
1085.698,0
1086.03,0
1086.362,0
1086.694,0
1087.025,0
1087.357,0
1087.689,0
1088.02,0
1088.351,0
1088.682,0
1089.014,0
1089.345,0
1089.676,0
1090.006,0
1090.337,0
1090.668,0
1090.998,0
1091.328,0
1091.659,0
1091.989,0
1092.319,0
1092.649,0
1092.979,0
1093.308,0
1093.638,0
1093.968,0
1094.297,0
1094.626,0
1094.956,0
1095.285,0
1095.614,0
1095.943,0
1096.272,0
1096.6,0
1096.929,0
1097.257,0
1097.586,0
1097.914,0
1098.242,0
1098.571,0
1098.899,0
1099.226,0
1099.554,0
1099.882,0
1100.209,0
1100.537,0
1100.864,0
1101.192,0
1101.519,0
1101.846,0
1102.173,0
1102.5,0
