,far red absorbing state
684.825,848.1875
685.265,851.4875
685.704,854.78
686.143,858.5015
686.583,863.1215
687.022,867.731
687.461,872.3405
687.9,876.95
688.338,881.549
688.777,886.1585
689.216,890.768
689.654,895.367
690.092,899.828
690.531,903.779
690.969,907.721
691.407,911.663
691.845,915.605
692.283,920.5375
692.721,926.0125
693.158,931.475
693.596,936.95
694.033,942.3795
694.471,947.4165
694.908,952.442
695.345,957.4675
695.782,962.493
696.219,968.1755
696.656,974.512
697.092,980.834
697.529,987.1705
697.966,993.507
698.402,1000.633
698.838,1007.827
699.274,1015.021
699.711,1022.2315
700.147,1028.9845
700.583,1034.8705
701.018,1040.743
701.454,1046.629
701.89,1052.515
702.325,1059.6875
702.76,1067.3
703.196,1074.93
703.631,1082.5425
704.066,1090.188
704.501,1098.018
704.936,1105.848
705.371,1113.678
705.805,1121.49
706.24,1128.12
706.674,1133.762
707.109,1139.417
707.543,1145.059
707.977,1150.701
708.411,1160.042
708.845,1169.59
709.279,1179.138
709.712,1188.664
710.146,1197.701
710.58,1205.73
711.013,1213.7405
711.446,1221.751
711.879,1229.7615
712.313,1237.634
712.746,1245.428
713.178,1253.204
713.611,1260.998
714.044,1268.66
714.477,1275.155
714.909,1281.635
715.341,1288.115
715.774,1294.61
716.206,1302.017
716.638,1310.441
717.07,1318.865
717.502,1327.289
717.933,1335.6935
718.365,1343.7525
718.797,1351.7445
719.228,1359.718
719.659,1367.6915
720.091,1375.4105
720.522,1382.091
720.953,1388.7715
721.384,1395.452
721.815,1402.1325
722.245,1409.0425
722.676,1416.154
723.106,1423.249
723.537,1430.3605
723.967,1437.4555
724.397,1442.1685
724.828,1446.694
725.258,1451.209
725.687,1455.7135
726.117,1460.404
726.547,1465.564
726.976,1470.712
727.406,1475.872
727.835,1481.02
728.265,1485.5175
728.694,1489.593
729.123,1493.6685
729.552,1497.744
729.981,1501.8195
730.409,1503.227
730.838,1504.514
731.267,1505.801
731.695,1507.085
732.123,1508.3075
732.552,1509.38
732.98,1510.45
733.408,1511.52
733.836,1512.59
734.264,1511.944
734.691,1510.236
735.119,1508.524
735.546,1506.816
735.974,1505.104
736.401,1501.5915
736.828,1497.962
737.255,1494.3325
737.682,1490.703
738.109,1486.8555
738.536,1482.372
738.963,1477.8885
739.389,1473.4155
739.816,1468.932
740.242,1463.128
740.669,1456.296
741.095,1449.48
741.521,1442.664
741.947,1435.848
742.373,1427.3535
742.798,1418.641
743.224,1409.908
743.65,1401.175
744.075,1391.9
744.5,1380
744.926,1368.072
745.351,1356.172
745.776,1344.272
746.201,1332.2715
746.626,1320.159
747.05,1308.075
747.475,1295.9625
747.899,1283.8785
748.324,1269.336
748.748,1254.072
749.172,1238.808
749.596,1223.544
750.02,1208.23
750.444,1191.906
750.868,1175.582
751.292,1159.258
751.715,1142.9725
752.139,1126.718
752.562,1110.644
752.986,1094.532
753.409,1078.458
753.832,1062.384
754.255,1046.6925
754.678,1031.253
755.1,1015.85
755.523,1000.4105
755.946,984.971
756.368,968.28
756.79,951.4
757.213,934.48
757.635,917.6
758.057,901.176
758.479,887.672
758.901,874.168
759.322,860.696
759.744,847.192
760.165,830.6675
760.587,809.3565
761.008,788.096
761.429,766.8355
761.85,745.575
762.271,729.7345
762.692,716.894
763.113,704.0535
763.534,691.213
763.954,678.403
764.375,665.5625
764.795,652.7525
765.216,639.912
765.636,627.102
766.056,613.844
766.476,597.674
766.896,581.504
767.315,565.3725
767.735,549.2025
768.155,534.04
768.574,520.632
768.993,507.224
769.413,493.784
769.832,480.376
770.251,468.3485
770.67,457.245
771.088,446.168
771.507,435.0645
771.926,423.961
772.344,412.54
772.763,401.0175
773.181,389.5225
773.599,378.0275
774.017,366.6175
774.435,357.2125
774.853,347.8075
775.271,338.4025
775.689,328.9975
776.106,320.145
776.524,312.83
776.941,305.5325
777.359,298.2175
777.776,290.92
778.193,283.2365
778.61,275.105
779.027,266.9735
779.443,258.8615
779.86,250.73
780.276,244.688
780.693,239.684
781.109,234.692
781.526,229.688
781.942,224.696
782.358,218.988
782.774,213.164
783.189,207.354
783.605,201.53
784.021,195.8005
784.436,191.858
784.852,187.906
785.267,183.9635
785.682,180.021
786.097,175.836
786.512,170.856
786.927,165.876
787.342,160.896
787.757,155.916
788.171,151.7175
788.586,148.605
789,145.5
789.414,142.395
789.829,139.2825
790.243,137.028
790.657,135.372
791.07,133.72
791.484,132.064
791.898,130.408
792.311,127.9785
792.725,125.2875
793.138,122.603
793.552,119.912
793.965,117.2275
794.378,114.165
794.791,111.0675
795.203,107.9775
795.616,104.88
796.029,101.8579
796.441,99.8391
796.854,97.8154
797.266,95.7966
797.678,93.7778
798.09,92.2
798.502,92.2
798.914,92.2
799.326,92.2
799.738,92.2
800.149,92.2
800.561,92.2
800.972,92.2
801.383,92.2
801.795,92.2
802.206,92.2
802.617,92.2
803.027,92.2
803.438,92.2
803.849,92.2
804.259,92.2
804.67,92.2
805.08,92.2
805.49,92.2
805.901,92.2
806.311,92.2
806.721,92.2
807.13,92.2
807.54,92.2
807.95,92.2
808.359,92.2
808.769,92.2
809.178,92.2
809.587,92.2
809.996,92.2
810.405,92.2
810.814,92.2
811.223,92.2
811.632,92.2
812.04,92.2
812.449,92.2
812.857,92.2
813.265,92.2
813.674,92.2
814.082,92.2
814.49,92.2
814.897,92.2
815.305,92.2
815.713,92.2
816.12,92.2
816.528,92.2
816.935,92.2
817.342,92.2
817.75,92.2
818.157,92.2
818.564,92.2
818.97,92.2
819.377,92.2
819.784,92.2
820.19,92.2
820.597,92.2
821.003,92.2
821.409,92.2
821.815,92.2
822.221,92.2
822.627,92.2
823.033,92.2
823.439,92.2
823.844,92.2
824.25,92.2
824.655,92.2
825.06,92.2
825.466,92.2
825.871,92.2
826.276,92.2
826.68,92.2
827.085,92.2
827.49,92.2
827.894,92.2
828.299,92.2
828.703,92.2
829.107,92.2
829.512,92.2
829.916,92.2
830.319,92.2
830.723,92.2
831.127,92.2
831.531,92.2
831.934,92.2
832.338,92.2
832.741,92.2
833.144,92.2
833.547,92.2
833.95,92.2
834.353,92.2
834.756,92.2
835.159,92.2
835.561,92.2
835.964,92.2
836.366,92.2
836.768,92.2
837.17,92.2
837.572,92.2
837.974,92.2
838.376,92.2
838.778,92.2
839.18,92.2
839.581,92.2
839.983,92.2
840.384,92.2
840.785,92.2
841.186,92.2
841.588,92.2
841.988,92.2
842.389,92.2
842.79,92.2
843.191,92.2
843.591,92.2
843.992,92.2
844.392,92.2
844.792,92.2
845.192,92.2
845.592,92.2
845.992,92.2
846.392,92.2
846.791,92.2
847.191,92.2
847.591,92.2
847.99,92.2
848.389,92.2
848.788,92.2
849.187,92.2
849.586,92.2
849.985,92.2
850.384,92.2
850.783,92.2
851.181,92.2
851.58,92.2
851.978,92.2
852.376,92.2
852.774,92.2
853.172,92.2
853.57,92.2
853.968,92.2
854.366,92.2
854.764,92.2
855.161,92.2
855.558,92.2
855.956,92.2
856.353,92.2
856.75,92.2
857.147,92.2
857.544,92.2
857.941,92.2
858.337,92.2
858.734,92.2
859.131,92.2
859.527,92.2
859.923,92.2
860.319,92.2
860.715,92.2
861.111,92.2
861.507,92.2
861.903,92.2
862.299,92.2
862.694,92.2
863.09,92.2
863.485,92.2
863.88,92.2
864.275,92.2
864.67,92.2
865.065,92.2
865.46,92.2
865.855,92.2
866.25,92.2
866.644,92.2
867.038,92.2
867.433,92.2
867.827,92.2
868.221,92.2
868.615,92.2
869.009,92.2
869.403,92.2
869.796,92.2
870.19,92.2
870.583,92.2
870.977,92.2
871.37,92.2
871.763,92.2
872.156,92.2
872.549,92.2
872.942,92.2
873.335,92.2
873.728,92.2
874.12,92.2
874.513,92.2
874.905,92.2
875.297,92.2
875.689,92.2
876.081,92.2
876.473,92.2
876.865,92.2
877.257,92.2
877.648,92.2
878.04,92.2
878.431,92.2
878.823,92.2
879.214,92.2
879.605,92.2
879.996,92.2
880.387,92.2
880.778,92.2
881.168,92.2
881.559,92.2
881.949,92.2
882.34,92.2
882.73,92.2
883.12,92.2
883.51,92.2
883.9,92.2
884.29,92.2
884.68,92.2
885.07,92.2
885.459,92.2
885.849,92.2
886.238,92.2
886.627,92.2
887.016,92.2
887.405,92.2
887.794,92.2
888.183,92.2
888.572,92.2
888.96,92.2
889.349,92.2
889.737,92.2
890.126,92.2
890.514,92.2
890.902,92.2
891.29,92.2
891.678,92.2
892.066,92.2
892.453,92.2
892.841,92.2
893.228,92.2
893.616,92.2
894.003,92.2
894.39,92.2
894.777,92.2
895.164,92.2
895.551,92.2
895.938,92.2
896.325,92.2
896.711,92.2
897.097,92.2
897.484,92.2
897.87,92.2
898.256,92.2
898.642,92.2
899.028,92.2
899.414,92.2
899.8,92.2
900.185,92.2
900.571,92.2
900.956,92.2
901.342,92.2
901.727,92.2
902.112,92.2
902.497,92.2
902.882,92.2
903.267,92.2
903.651,92.2
904.036,92.2
904.42,92.2
904.805,92.2
905.189,92.2
905.573,92.2
905.957,92.2
906.341,92.2
906.725,92.2
907.109,92.2
907.492,92.2
907.876,92.2
908.259,92.2
908.643,92.2
909.026,92.2
909.409,92.2
909.792,92.2
910.175,92.2
910.558,92.2
910.941,92.2
911.323,92.2
911.706,92.2
912.088,92.2
912.471,92.2
912.853,92.2
913.235,92.2
913.617,92.2
913.999,92.2
914.38,92.2
914.762,92.2
915.144,92.2
915.525,92.2
915.907,92.2
916.288,92.2
916.669,92.2
917.05,92.2
917.431,92.2
917.812,92.2
918.193,92.2
918.573,92.2
918.954,92.2
919.334,92.2
919.715,92.2
920.095,92.2
920.475,92.2
920.855,92.2
921.235,92.2
921.615,92.2
921.995,92.2
922.374,92.2
922.754,92.2
923.133,92.2
923.512,92.2
923.892,92.2
924.271,92.2
924.65,92.2
925.029,92.2
925.407,92.2
925.786,92.2
926.165,92.2
926.543,92.2
926.922,92.2
927.3,92.2
927.678,92.2
928.056,92.2
928.434,92.2
928.812,92.2
929.19,92.2
929.567,92.2
929.945,92.2
930.322,92.2
930.7,92.2
931.077,92.2
931.454,92.2
931.831,92.2
932.208,92.2
932.585,92.2
932.962,92.2
933.338,92.2
933.715,92.2
934.091,92.2
934.467,92.2
934.844,92.2
935.22,92.2
935.596,92.2
935.972,92.2
936.347,92.2
936.723,92.2
937.099,92.2
937.474,92.2
937.85,92.2
938.225,92.2
938.6,92.2
938.975,92.2
939.35,92.2
939.725,92.2
940.1,92.2
940.474,92.2
940.849,92.2
941.223,92.2
941.598,92.2
941.972,92.2
942.346,92.2
942.72,92.2
943.094,92.2
943.468,92.2
943.841,92.2
944.215,92.2
944.589,92.2
944.962,92.2
945.335,92.2
945.709,92.2
946.082,92.2
946.455,92.2
946.828,92.2
947.2,92.2
947.573,92.2
947.946,92.2
948.318,92.2
948.69,92.2
949.063,92.2
949.435,92.2
949.807,92.2
950.179,92.2
950.551,92.2
950.923,92.2
951.294,92.2
951.666,92.2
952.037,92.2
952.409,92.2
952.78,92.2
953.151,92.2
953.522,92.2
953.893,92.2
954.264,92.2
954.634,92.2
955.005,92.2
955.376,92.2
955.746,92.2
956.116,92.2
956.487,92.2
956.857,92.2
957.227,92.2
957.596,92.2
957.966,92.2
958.336,92.2
958.706,92.2
959.075,92.2
959.444,92.2
959.814,92.2
960.183,92.2
960.552,92.2
960.921,92.2
961.29,92.2
961.658,92.2
962.027,92.2
962.396,92.2
962.764,92.2
963.132,92.2
963.501,92.2
963.869,92.2
964.237,92.2
964.605,92.2
964.973,92.2
965.34,92.2
965.708,92.2
966.075,92.2
966.443,92.2
966.81,92.2
967.177,92.2
967.545,92.2
967.912,92.2
968.278,92.2
968.645,92.2
969.012,92.2
969.378,92.2
969.745,92.2
970.111,92.2
970.478,92.2
970.844,92.2
971.21,92.2
971.576,92.2
971.942,92.2
972.307,92.2
972.673,92.2
973.039,92.2
973.404,92.2
973.769,92.2
974.135,92.2
974.5,92.2
974.865,92.2
975.23,92.2
975.595,92.2
975.959,92.2
976.324,92.2
976.688,92.2
977.053,92.2
977.417,92.2
977.781,92.2
978.145,92.2
978.509,92.2
978.873,92.2
979.237,92.2
979.601,92.2
979.964,92.2
980.328,92.2
980.691,92.2
981.055,92.2
981.418,92.2
981.781,92.2
982.144,92.2
982.507,92.2
982.869,92.2
983.232,92.2
983.595,92.2
983.957,92.2
984.319,92.2
984.682,92.2
985.044,92.2
985.406,92.2
985.768,92.2
986.13,92.2
986.491,92.2
986.853,92.2
987.214,92.2
987.576,92.2
987.937,92.2
988.298,92.2
988.659,92.2
989.02,92.2
989.381,92.2
989.742,92.2
990.103,92.2
990.463,92.2
990.824,92.2
991.184,92.2
991.544,92.2
991.905,92.2
992.265,92.2
992.625,92.2
992.985,92.2
993.344,92.2
993.704,92.2
994.063,92.2
994.423,92.2
994.782,92.2
995.142,92.2
995.501,92.2
995.86,92.2
996.219,92.2
996.577,92.2
996.936,92.2
997.295,92.2
997.653,92.2
998.012,92.2
998.37,92.2
998.728,92.2
999.086,92.2
999.444,92.2
999.802,92.2
1000.16,92.2
1000.518,92.2
1000.875,92.2
1001.233,92.2
1001.59,92.2
1001.947,92.2
1002.305,92.2
1002.662,92.2
1003.019,92.2
1003.375,92.2
1003.732,92.2
1004.089,92.2
1004.445,92.2
1004.802,92.2
1005.158,92.2
1005.514,92.2
1005.871,92.2
1006.227,92.2
1006.583,92.2
1006.938,92.2
1007.294,92.2
1007.65,92.2
1008.005,92.2
1008.361,92.2
1008.716,92.2
1009.071,92.2
1009.426,92.2
1009.781,92.2
1010.136,92.2
1010.491,92.2
1010.846,92.2
1011.2,92.2
1011.555,92.2
1011.909,92.2
1012.263,92.2
1012.617,92.2
1012.971,92.2
1013.326,92.2
1013.679,92.2
1014.033,92.2
1014.387,92.2
1014.74,92.2
1015.094,92.2
1015.447,92.2
1015.8,92.2
1016.153,92.2
1016.507,92.2
1016.859,92.2
1017.212,92.2
1017.565,92.2
1017.918,92.2
1018.27,92.2
1018.622,92.2
1018.975,92.2
1019.327,92.2
1019.679,92.2
1020.031,92.2
1020.383,92.2
1020.735,92.2
1021.086,92.2
1021.438,92.2
1021.79,92.2
1022.141,92.2
1022.492,92.2
1022.843,92.2
1023.194,92.2
1023.545,92.2
1023.896,92.2
1024.247,92.2
1024.598,92.2
1024.948,92.2
1025.299,92.2
1025.649,92.2
1025.999,92.2
1026.349,92.2
1026.699,92.2
1027.049,92.2
1027.399,92.2
1027.749,92.2
1028.099,92.2
1028.448,92.2
1028.797,92.2
1029.147,92.2
1029.496,92.2
1029.845,92.2
1030.194,92.2
1030.543,92.2
1030.892,92.2
1031.24,92.2
1031.589,92.2
1031.938,92.2
1032.286,92.2
1032.634,92.2
1032.982,92.2
1033.33,92.2
1033.678,92.2
1034.026,92.2
1034.374,92.2
1034.722,92.2
1035.069,92.2
1035.417,92.2
1035.764,92.2
1036.111,92.2
1036.458,92.2
1036.805,92.2
1037.152,92.2
1037.499,92.2
1037.846,92.2
1038.193,92.2
1038.539,92.2
1038.885,92.2
1039.232,92.2
1039.578,92.2
1039.924,92.2
1040.27,92.2
1040.616,92.2
1040.962,92.2
1041.307,92.2
1041.653,92.2
1041.998,92.2
1042.344,92.2
1042.689,92.2
1043.034,92.2
1043.379,92.2
1043.724,92.2
1044.069,92.2
1044.414,92.2
1044.759,92.2
1045.103,92.2
1045.448,92.2
1045.792,92.2
1046.136,92.2
1046.48,92.2
1046.824,92.2
1047.168,92.2
1047.512,92.2
1047.856,92.2
1048.199,92.2
1048.543,92.2
1048.886,92.2
1049.23,92.2
1049.573,92.2
1049.916,92.2
1050.259,92.2
1050.602,92.2
1050.945,92.2
1051.287,92.2
1051.63,92.2
1051.972,92.2
1052.315,92.2
1052.657,92.2
1052.999,92.2
1053.341,92.2
1053.683,92.2
1054.025,92.2
1054.367,92.2
1054.708,92.2
1055.05,92.2
1055.391,92.2
1055.733,92.2
1056.074,92.2
1056.415,92.2
1056.756,92.2
1057.097,92.2
1057.438,92.2
1057.779,92.2
1058.119,92.2
1058.46,92.2
1058.8,92.2
1059.141,92.2
1059.481,92.2
1059.821,92.2
1060.161,92.2
1060.501,92.2
1060.841,92.2
1061.18,92.2
1061.52,92.2
1061.859,92.2
1062.199,92.2
1062.538,92.2
1062.877,92.2
1063.216,92.2
1063.555,92.2
1063.894,92.2
1064.233,92.2
1064.571,92.2
1064.91,92.2
1065.248,92.2
1065.587,92.2
1065.925,92.2
1066.263,92.2
1066.601,92.2
1066.939,92.2
1067.277,92.2
1067.615,92.2
1067.952,92.2
1068.29,92.2
1068.627,92.2
1068.964,92.2
1069.302,92.2
1069.639,92.2
1069.976,92.2
1070.313,92.2
1070.649,92.2
1070.986,92.2
1071.323,92.2
1071.659,92.2
1071.996,92.2
1072.332,92.2
1072.668,92.2
1073.004,92.2
1073.34,92.2
1073.676,92.2
1074.012,92.2
1074.347,92.2
1074.683,92.2
1075.018,92.2
1075.354,92.2
1075.689,92.2
1076.024,92.2
1076.359,92.2
1076.694,92.2
1077.029,92.2
1077.364,92.2
1077.698,92.2
1078.033,92.2
1078.367,92.2
1078.701,92.2
1079.036,92.2
1079.37,92.2
1079.704,92.2
1080.038,92.2
1080.371,92.2
1080.705,92.2
1081.039,92.2
1081.372,92.2
1081.705,92.2
1082.039,92.2
1082.372,92.2
1082.705,92.2
1083.038,92.2
1083.371,92.2
1083.704,92.2
1084.036,92.2
1084.369,92.2
1084.701,92.2
1085.034,92.2
1085.366,92.2
1085.698,92.2
1086.03,92.2
1086.362,92.2
1086.694,92.2
1087.025,92.2
1087.357,92.2
1087.689,92.2
1088.02,92.2
1088.351,92.2
1088.682,92.2
1089.014,92.2
1089.345,92.2
1089.676,92.2
1090.006,92.2
1090.337,92.2
1090.668,92.2
1090.998,92.2
1091.328,92.2
1091.659,92.2
1091.989,92.2
1092.319,92.2
1092.649,92.2
1092.979,92.2
1093.308,92.2
1093.638,92.2
1093.968,92.2
1094.297,92.2
1094.626,92.2
1094.956,92.2
1095.285,92.2
1095.614,92.2
1095.943,92.2
1096.272,92.2
1096.6,92.2
1096.929,92.2
1097.257,92.2
1097.586,92.2
1097.914,92.2
1098.242,92.2
1098.571,92.2
1098.899,92.2
1099.226,92.2
1099.554,92.2
1099.882,92.2
1100.209,92.2
1100.537,92.2
1100.864,92.2
1101.192,92.2
1101.519,92.2
1101.846,92.2
1102.173,92.2
1102.5,92.2
